Number;Number 1;Number 2
82025;19029;31427
33260;72495;60667
15791;64844;69072
3783;18632;33853
60318;99387;58923
67305;61913;57515
51015;41627;78752
78057;15331;33054
51221;14689;1400
38486;20894;26029
34438;96399;16046
82923;52771;87614
65837;47621;20214
59396;32221;75535
88376;16637;9525
87541;5940;72903
18660;1836;55323
60398;34092;84657
5786;59479;97028
95854;29249;33195
58097;24388;44280
47377;37547;93509
86185;20546;14993
35443;54139;48802
56077;78194;3456
68367;54264;44216
98478;78650;57670
8199;953;64088
57214;67530;94474
19240;45992;39485
62599;58239;59088
48070;11193;99597
86832;76945;25230
80595;99279;45809
33876;48657;65298
46857;26944;33828
98016;80723;85883
80615;65349;93179
11555;74558;12150
9696;12209;73784
70304;38616;62069
82936;40770;70534
70181;41625;66672
99402;75602;64721
11762;88178;94161
34809;29450;69398
33941;40832;9578
15125;43507;30974
20985;7227;44697
91849;81533;92392
65249;69590;32543
28042;83057;22457
31633;54921;41524
64586;73824;29166
6196;87888;98798
10975;18299;56004
20302;34570;47780
90601;73581;8779
43487;76238;36308
36698;64820;47282
81084;6117;3244
13587;45261;30053
75732;3849;74408
76220;4248;61146
90610;26640;98388
28335;61467;32354
95607;97190;91084
44323;37934;52394
6325;19781;71394
9556;87201;9772
57543;66567;32933
93467;44574;26491
58468;22064;26431
8066;31995;82072
7128;63429;46326
63759;51420;53302
67532;17042;50818
49307;64937;37835
13838;33904;28547
5668;80495;32036
20562;58679;57169
79201;44100;42470
54431;14378;82408
88716;18773;13144
75115;22145;84252
91437;13215;73493
87351;54208;37178
55571;51580;35994
82922;20750;2467
89979;23912;70241
69254;94602;83524
79426;71225;65289
89708;18146;21316
75681;31521;63684
5887;42260;22711
98054;37530;8056
40817;95896;65152
87851;21933;81226
67801;30656;95809
75726;72314;28624
66947;58080;62009
4165;97593;28934
54870;70791;78563
2254;42436;42178
13896;1022;88641
12195;66583;27597
23531;85487;25292
72927;53333;96312
48933;35058;79300
46156;88031;87105
56005;46244;38057
25988;27521;67391
95148;5289;9763
77741;32861;42257
77734;59901;15970
43597;51373;81927
60916;20347;3063
81895;62366;62960
44772;38597;96571
29856;73411;575
83041;29252;27068
87703;53374;77282
70207;83165;95755
74222;52600;43186
27383;94730;74877
18891;95456;86363
93251;48113;95462
37887;14277;98545
91117;11081;2114
99818;1041;82309
92322;83082;98345
83582;11513;78539
58395;94424;46823
11800;42927;27439
29308;23489;93994
36785;67547;34772
75598;35834;49611
61434;81022;75773
36664;9667;74612
69084;53531;49370
72496;49156;94452
26373;78500;47494
92936;16849;50601
61447;64634;52457
66523;40027;90695
64393;84116;95572
42198;94507;25233
51131;86548;96818
50305;27868;40636
27661;16332;8305
34836;27998;80982
75430;2845;94040
91226;90468;33416
13879;81035;57676
10445;76744;85708
4080;98590;86281
25727;60483;87783
15161;95786;28328
1487;96797;16651
98729;83044;42878
44047;31783;41029
14689;38667;94269
1096;4277;94446
72792;76721;84592
2098;58212;21279
21213;75303;83656
37034;12193;9555
37861;21197;17216
84968;44282;28323
65854;3321;4150
57991;99436;21140
78011;70811;45992
27764;31306;26443
92157;17416;83856
100;95188;60698
26800;10198;85523
90738;76280;73528
99580;10479;88118
26684;90919;85500
17753;1843;72426
50780;45594;87396
23474;8718;23413
49177;8650;48219
94097;27586;8380
61599;41907;28968
22848;4308;46321
97720;6381;19399
68803;14806;90063
35894;80777;67917
74770;97102;79097
61317;71828;95193
3237;45744;37531
86306;97852;3177
20593;35148;7604
38318;7670;50029
45860;61370;55961
86439;62741;78834
69083;53592;33331
9190;45771;69857
31958;97422;49400
71814;41778;14129
82753;44772;51924
89498;73567;20744
32533;30872;38938
2407;992;9113
52861;28644;30014
20062;64924;38079
4743;22633;92146
10500;19009;40331
8519;43383;4075
26931;48116;84086
26238;35728;17453
79897;2787;28535
98606;62496;64531
58826;30919;24839
31420;64976;55164
83835;79802;45224
14978;64585;60606
25044;44600;9961
34058;6318;14087
72336;63322;55974
24452;72413;15691
96541;86751;55973
90572;1446;51987
50624;13346;3024
90027;58404;92050
78279;8035;9888
74549;50078;48978
69174;47156;14792
22140;90690;72330
77458;35056;85789
59409;94747;87720
39601;26202;42788
62284;13781;35400
3809;57293;58749
11952;33869;33824
6904;33745;50881
81047;95489;36262
2058;27345;67148
17649;5773;16057
25675;80647;17685
18777;44498;7610
17037;62809;66642
63206;24676;77384
63509;34157;24055
37311;43178;13037
11145;90745;33141
70637;55588;90307
91956;29596;76037
86936;2932;36356
15910;10234;32631
61338;9346;79672
65709;95948;50879
77582;97994;82675
50895;44225;25446
79513;32097;89414
46069;34420;27055
30596;11709;88959
57897;32836;40282
20553;13134;369
72592;37871;32347
11309;59236;15682
35117;39337;13321
15121;22834;36096
81475;36797;50998
84377;96960;27777
13128;30814;86547
10882;32506;50697
27201;13248;77115
4117;39887;74036
71143;21401;44777
48418;56714;6770
98639;87871;80500
34860;28982;61186
79897;29701;34844
96260;38992;80873
35725;24133;9300
72116;95203;17391
46183;58737;31224
65639;9133;8952
14476;3864;38726
144;22679;23175
63513;87578;64318
67112;41133;80690
96820;21028;51977
8924;71058;35092
94222;37983;87929
61970;81449;72113
96657;28592;92640
43461;8214;96644
29975;47694;78867
40675;42181;64482
74810;86794;31422
34633;16313;43773
26757;83519;41166
26123;48366;25883
98141;14620;20020
80017;98381;60222
24193;44458;94362
13502;14126;13539
25738;90947;11377
49450;20269;65047
15052;97088;60345
69943;35577;3408
57775;10579;90311
57770;19747;13131
80111;63773;6797
36928;60024;56865
43058;82910;46781
42951;90528;55395
11771;35252;90404
5757;41509;83826
53536;81953;63237
39941;79693;46607
30579;4113;90103
43747;68920;6782
51625;59844;64882
2594;86928;8419
42723;76046;4687
16762;19956;86754
80033;50173;36061
13928;88698;17876
31522;22564;55440
22077;95230;7371
28573;9330;19000
37641;14379;15999
73561;18472;96962
28477;68918;42324
4536;33;72316
1790;82626;87852
865;635;72185
21076;46531;47440
25648;10117;24002
11891;62527;59872
22658;64910;45312
63174;21820;71715
26473;99275;52758
16573;1082;78091
43087;61216;18435
1357;55558;50178
79230;12041;34469
2156;25000;14917
4885;30098;28253
25438;59339;87369
61265;80827;62725
81269;49269;86708
83752;5324;73453
563;3061;39725
94603;93757;39667
74712;21369;48538
67201;34705;24933
77168;94915;57338
95801;96878;7086
15431;57058;60261
83902;75852;74842
28323;83383;97685
35226;68265;73938
83745;8737;91235
94504;36669;21701
21947;11139;74570
38975;84926;90925
99565;24207;6836
14391;12791;51479
58374;7120;55886
78196;22217;64905
6331;1417;27183
5342;10957;68442
63145;26717;75108
13550;47270;66503
89415;49061;53477
74282;62034;41988
92498;53280;18182
23502;888;94093
30871;13614;71955
73830;26518;40407
18746;87287;1892
69494;97174;2471
30502;30801;32127
4542;10712;50856
47422;89537;41682
15674;56744;59024
3135;3416;4421
63105;83620;71510
98027;74562;217
92046;44643;62662
37662;731;64394
41444;71579;83735
42718;52091;15276
6084;43858;50711
75771;55480;25882
73487;71706;33715
37930;50166;67978
52369;60443;71673
76589;15312;48369
30499;76774;51580
15659;69813;33161
37791;26496;43350
10533;98408;23480
68565;39705;14650
52938;61527;94140
63454;51808;40881
1722;63642;94452
15710;94518;37379
15491;96070;86837
95984;92676;33304
45018;67292;76860
10392;57619;88544
54735;73639;25515
78897;55549;65750
26174;33896;62368
6787;39387;1866
76666;58721;93654
80283;39371;52919
92603;56394;6099
55419;9797;42894
15689;11762;7822
15361;2949;49670
95196;37842;92643
62780;15358;59328
18765;83774;51760
66840;5032;18896
83030;51034;59182
15433;52491;90365
56083;29529;8586
10781;25171;34171
48831;89779;5001
96103;37079;33796
55184;28492;68115
55348;83829;81424
35089;25451;84340
23912;35171;57124
43160;60439;94374
25689;43933;25103
49892;45817;43422
13999;82453;38772
13163;19314;62092
80211;62762;74061
10538;86363;14086
29072;52772;73931
23289;99495;35373
58403;25806;40607
91426;4947;85332
27355;75737;28398
6898;15984;90913
44137;37858;32172
30526;90149;66213
51212;47660;64441
64415;51081;61629
48074;3537;27282
61788;28271;41184
79423;39575;59441
5209;5085;88221
71651;56607;46614
22206;36591;65154
66201;57731;68324
53810;41851;22850
6513;45039;28371
57521;75193;89901
48269;91242;93930
40269;79177;83249
98981;73845;60624
48582;82520;56787
84947;99939;27465
97444;75534;73975
40957;6256;73516
15374;852;98259
69556;69662;68254
34876;7550;39589
71821;31223;99892
70624;51773;6576
36296;96302;43340
16691;29723;96479
9795;19062;7841
51514;94812;55569
9943;66481;52763
85677;85346;41546
81926;63132;60978
78306;86097;13682
55133;34818;12319
16710;79417;87405
70526;54373;87038
11845;23453;1426
73876;51820;55022
74366;95246;31269
76124;50079;59532
3023;513;78414
46287;79029;40458
19337;70766;75862
31929;74142;36924
14308;78046;14388
72650;16612;11589
48827;28118;44663
55378;27377;35387
80187;35666;15576
57297;55981;81887
91940;55826;80791
86311;9500;65301
4513;37384;50533
98293;23046;67043
85684;1926;28607
98633;14031;86179
8430;90380;86611
64061;72915;80530
33676;63231;68419
73141;21533;84628
96624;11757;54608
95086;17116;10582
90683;23656;99450
59588;1213;11781
78739;50546;78948
94081;21158;99033
29505;37512;93928
48850;91197;39632
69844;9524;44110
96308;392;12286
73420;64128;14839
70;18799;28534
61589;7716;65735
71749;22602;80131
60345;88980;95117
53529;59504;42313
23882;90061;68875
47417;23321;47979
44594;37797;98255
68344;13373;85375
72454;68089;30497
44148;9757;69131
33836;11955;4459
84036;68104;19999
19813;3710;90146
89438;54637;21290
16030;51918;85449
8783;59516;61209
98491;11771;20749
95417;31100;64283
61771;84129;56447
1179;87712;64411
89606;83348;45680
60328;96691;1653
13771;17219;14970
44168;45940;54258
53964;54682;78205
16277;17135;25402
70944;70053;96706
96813;65746;82222
84092;47168;40371
37292;29075;30100
93565;60020;93558
76606;98018;89964
57397;16922;11028
18502;41408;58133
4353;68371;84446
85349;20169;99409
76195;19525;87828
94274;65093;30998
93411;85285;91529
50463;96837;13323
20401;55940;55911
1907;10108;82743
60756;6072;60492
86677;68917;90857
86361;99415;41142
16611;96843;88949
39418;97843;47016
20441;57830;42151
36508;23154;41982
66853;37582;88054
49022;67918;70487
2266;40089;54600
56743;79469;57745
87555;10826;53503
99596;12653;89663
71962;84001;3203
17128;82443;15802
37389;88824;7206
98612;52034;44870
60366;56091;50701
28613;30539;72252
27217;631;67791
55340;48357;96379
18127;32588;7966
97123;86429;77505
34966;23113;54935
47541;98301;9926
84308;24726;16270
35789;22161;94371
30717;98664;7021
20524;33959;19708
87956;27578;27932
60345;25229;38813
59626;42805;29448
94623;88436;26292
25291;94548;32608
22537;30668;50130
70065;4251;17604
21868;2693;9036
4576;36326;22121
86769;66460;42863
17904;9179;85613
93889;94956;56074
91265;2401;32192
72923;49849;48113
15597;24175;9248
4617;50139;47609
96291;68209;40530
74174;92147;32514
50899;6403;72056
38073;48591;19635
65658;62081;89295
70383;14770;4622
80925;95183;47988
37459;71614;42716
83406;55858;96962
20391;15152;45613
26785;74206;21471
46383;45069;29863
77269;65401;27095
95512;36707;34351
57828;45047;30366
30171;95947;29099
79540;67778;65126
74045;74448;51990
23489;9184;59554
53683;14638;52655
59829;54998;14258
15844;33348;33421
49957;63861;74746
80543;87877;85936
44109;66419;34682
51021;24464;80504
24246;45763;95823
75222;33223;17289
20623;87153;94032
77111;14095;91778
83132;31080;17484
89220;32218;49147
26168;13437;80444
52592;27601;87851
14767;69922;36868
69176;5021;98295
45336;64483;41211
99368;9530;51393
7085;44776;71656
10235;27714;68270
74804;77612;27760
70660;93869;46790
98422;17176;21493
83036;83465;77834
49307;38779;54530
63082;68877;76277
87489;95891;8277
42072;91098;48902
4831;64025;10069
31120;47811;46160
43497;15197;57686
90087;40845;20114
58844;26107;30771
59126;68378;76750
5174;8268;89452
15429;10824;57317
66254;68304;64387
79021;7980;3244
78099;57423;59449
17317;18517;6967
46108;43717;85327
29082;74887;34112
41420;91492;62331
51604;41855;37755
9081;85792;69019
89239;98914;72843
9604;73310;56052
83395;44747;57562
54628;59946;51336
21783;75091;347
40316;81158;36446
92198;49776;4262
83116;85099;37598
46509;36954;80953
41071;15846;41315
7587;84992;59031
25562;87886;84259
78182;30974;45806
67832;24280;64566
69798;31839;99977
28755;7273;18542
60006;14696;21950
70318;40977;48124
45924;54302;52323
56580;14656;95524
43283;23633;53016
14907;16338;16858
63992;11915;53882
98145;64403;11420
21472;42717;28619
87187;68390;83049
96087;94380;70044
97861;7793;28332
47919;25524;52951
56881;56496;52864
64259;85181;16704
37830;42848;20853
41265;77067;90834
62045;34272;20629
89854;6286;7614
37766;25554;41191
969;26467;20617
65257;14187;70447
70277;76846;2822
73840;39994;72420
90686;41565;12144
89414;18869;87865
6790;80218;66945
36469;59702;81048
65048;74809;93865
30623;67239;13786
98219;17722;12509
71481;71876;84356
79345;58528;28044
51705;3235;79371
16913;76202;22539
22336;24673;50114
85663;60699;25508
78278;81159;60151
49340;75585;42375
60478;54971;20376
96589;96965;22010
42048;65107;14417
67002;87965;71820
20954;41597;68420
99091;11043;69414
30291;25330;38695
83722;68252;24957
67207;85824;778
25226;1888;67797
99785;37298;9533
88877;36911;80852
65844;70760;56679
23456;38932;39647
81258;91619;20226
60979;25613;17912
54703;69251;47
75443;32782;89989
901;62019;93577
76068;73491;85993
22792;33842;14102
88458;94337;66226
16964;85081;4842
37602;89927;67814
65565;93685;66184
59183;45503;67963
86081;56129;15036
30787;18709;49532
29169;1218;58546
37511;89390;89459
52839;95435;25381
27535;81051;42225
46992;99527;20519
70495;70220;57086
43949;19207;33170
68401;6074;922
59224;40837;94632
99720;50676;39023
80124;37655;42826
76535;46303;11029
94632;43320;59590
11239;6549;65030
83631;85151;92355
69055;51052;45118
62635;88147;41757
12136;39269;48585
17620;90652;78812
6639;73208;71398
41675;76151;23848
28544;36973;58608
82929;14542;62923
95756;5491;8069
29014;47237;86134
25698;89724;11455
43023;31592;1432
60913;83416;12054
97857;89851;60190
99412;90285;9701
89511;76028;3475
33397;18574;99695
33009;28879;29148
54650;51941;99818
57162;14434;17328
30692;17533;24883
78246;74081;72061
49936;86158;37772
95929;68031;21274
95395;57155;15150
12441;23954;19350
28754;68399;15457
11735;4200;23527
34767;96787;36603
32184;86637;82148
50581;19380;58547
55163;85227;65932
48673;3845;30252
84537;46144;27237
11577;57913;19016
59492;93164;58423
50968;79954;95861
58825;79475;17285
54525;87360;22699
80990;2044;86223
92486;8983;83093
77767;52420;43405
87152;21610;95901
17010;17866;25402
8979;41058;81693
39020;54854;26554
75490;96311;958
31111;13783;62939
60592;92110;32217
532;10221;94560
94458;59950;2046
84511;56081;66010
13003;8992;70224
82111;42703;30968
90925;71231;35619
87994;85572;59390
28556;79561;76306
93747;45110;29184
41593;88854;50877
18487;96237;45215
46507;29434;67204
28358;51260;89285
67863;93430;82203
94355;90797;20712
85216;88904;35146
47994;15476;17293
6038;99581;4876
78718;88968;5626
89326;67526;90959
62903;35968;18307
30139;64940;81968
2164;84273;54700
92510;42189;76397
34330;21296;57941
83071;41282;87231
88768;38023;38207
3733;20303;16279
90995;57887;33531
77848;91836;47288
26868;41486;20261
87778;64071;40748
65387;7001;802
85886;29655;6057
68439;63256;48815
62728;58582;55621
72799;37551;58089
65798;30207;9545
99794;3199;34318
26119;46303;56167
65857;80208;85483
41330;78111;90087
30903;13664;87834
29109;34772;76055
85937;46261;49533
75970;66503;83546
77969;65523;48958
93697;65894;59274
77743;92289;10198
83303;35640;51793
20504;65024;70565
55346;39571;19523
90877;13618;36393
46936;14831;81579
75257;72323;88420
47249;41853;4538
10073;62807;18207
42648;13984;23824
42628;52633;91381
2043;91146;32908
78731;42500;19492
67842;74608;11130
73320;99778;3529
87877;3158;97478
68817;92088;77419
92065;94425;79040
45006;8633;18152
6566;47101;96954
53632;19051;15436
90212;65016;84734
62400;52534;26368
33216;62959;820
41296;70214;13046
3596;64896;58711
54671;48884;84195
90685;52720;69823
50633;58374;23095
46771;63261;62482
7417;40850;96279
53421;51565;99824
23065;3379;53522
60392;53159;73525
54258;38917;18140
34299;24734;45841
66916;62413;80567
36628;182;52069
99980;83400;21577
7914;89422;99340
90102;67659;80596
29220;26547;29358
49358;97939;29575
11784;29355;11776
82949;85806;39878
91420;37204;37415
60632;6947;10374
770;24543;24139
85512;1283;84510
69925;32769;39042
759;45037;11616
34853;53386;4132
54375;75258;94669
85492;17110;25231
90743;35400;31521
88873;28803;35195
62333;76297;56010
46673;85421;33437
74544;79156;17832
50294;40345;39407
37691;70173;6929
22949;73390;39431
21283;88193;96097
57055;95032;47810
53479;32831;5452
93987;25840;83585
59395;54729;89434
54927;11469;91485
32125;93077;25972
61902;65619;18193
41865;70794;40981
53765;51557;37461
21383;30817;88708
44302;46847;79052
56069;70998;53109
90577;25142;51520
39411;22745;86220
84667;63491;3754
84643;92232;86960
66494;36876;25491
13893;17688;67647
93896;38898;88859
51546;40791;97393
94665;41390;87086
49070;40592;103
26717;86812;92336
71533;3857;35682
93508;94488;25164
3600;6960;45902
29938;1151;96766
93049;84404;90988
63404;71707;25073
27454;94784;44200
5925;80860;15156
96859;65858;44139
78007;67863;61378
25067;46816;12584
69822;78225;78873
22384;71487;76006
97484;70178;91900
80279;65376;75394
22370;83948;18190
46810;14;56456
37920;26369;64237
96732;11498;51414
46334;1065;92227
94591;58561;62177
15105;10783;5066
3460;25313;62586
12000;94404;97258
40951;49401;341
59380;55496;95873
58231;69581;97809
57368;36584;73224
82331;91712;52402
97432;1996;14058
34117;17069;17476
17230;3052;42088
47016;72951;59956
49746;81574;79670
39351;22461;19702
16051;41065;35675
99018;97440;55498
26321;69430;19049
82289;43573;28130
11782;85015;24575
33812;92174;40971
22518;12973;72878
23038;67872;39507
6669;18970;41368
66909;64950;53269
34383;32829;68495
94555;18546;64483
43864;29354;49652
22268;5317;48402
96711;24790;64223
5228;83722;29551
85970;91521;77658
54928;63474;42051
33654;58856;85197
9013;89678;12261
21871;1889;39310
36401;89528;49237
61120;28710;91244
94216;47141;17155
30115;89448;96958
3169;36404;74515
72623;20630;60282
18802;44712;292
47035;28984;14423
96993;18863;61443
62088;87671;39436
36422;3954;39619
17691;30219;4157
1064;42962;19477
98362;13134;25001
86513;54575;10398
3176;37178;77551
33112;43201;6893
60079;98906;49722
78290;29158;78699
71941;59705;44822
1445;85754;29040
5467;56492;10283
61995;43654;8999
9997;80510;57705
30562;5280;28050
56351;55180;71226
77031;5859;54076
71076;66106;64014
56453;44815;86437
79083;7237;94760
76569;9295;7240
21205;37799;73556
54991;68621;63997
61303;22532;28963
37620;79090;85679
62919;57129;12633
79011;12652;73878
75298;46167;35792
14279;8340;91463
19964;62011;4240
87616;37751;79377
70508;80373;33667
77676;37899;97869
14810;29082;56493
15537;88939;54840
93022;85358;74742
12211;51142;47352
98835;25610;6171
99755;25782;79577
17301;51197;88445
27080;45176;30332
69005;41689;8763
15273;29527;86534
28647;45624;95896
67108;87560;35938
6208;43643;51261
70203;76203;73320
88667;86721;99235
67840;32977;5538
59420;81054;62782
85503;87231;15388
7690;81893;75213
14253;44229;89150
2223;66180;7442
97326;97621;83000
26407;5921;69991
27201;88403;37295
10040;78591;63402
60653;3655;56403
65378;40762;46644
5076;77967;56059
81819;6327;70141
26942;79355;15912
46079;27978;78576
94721;87261;49900
42639;87555;26038
28285;6189;86333
84876;40650;12690
83648;16188;4164
53762;33650;92343
56109;34743;93751
88244;27459;42142
49529;9698;20327
51869;41355;56993
59304;68256;84452
71431;53476;94137
54950;74172;62418
94112;247;40616
36779;24742;17580
19716;69418;75261
42541;52554;79403
22493;81283;32235
1500;54921;59869
59818;13143;81852
54288;31601;17077
57023;43271;7430
91531;90010;55192
77842;24381;73265
34484;17567;4836
46855;32905;66962
99360;28968;35836
25404;70392;43074
17468;84192;28194
72269;7548;54979
51099;58628;30307
92873;45039;28486
42310;55244;14374
69414;79362;27132
10090;95594;95638
68361;75130;57138
57344;95427;75330
21658;51572;72085
30938;66928;28344
66342;37583;59943
43799;21684;44613
96771;63064;48607
77536;54901;61994
95858;74268;67864
50291;62154;22622
68237;2471;23554
31499;52094;23698
48099;57636;23734
52314;64417;91122
10823;9429;13616
81634;92155;22188
5164;79809;82550
23048;73193;10267
53213;44886;42006
63631;47374;37474
3522;33787;57282
73738;67693;43575
27804;81482;23063
55200;85383;36218
32341;54223;57967
45692;47302;11593
23842;29441;76008
89636;89216;80308
75731;53496;13212
67757;84273;66407
63311;41038;17957
934;48667;99424
92871;22782;56574
56738;83896;45185
87032;22565;97585
48159;56873;69792
11856;13356;6897
70093;14234;52038
51722;41343;16260
95292;41679;1213
20520;85188;39827
47386;28024;94911
52975;59267;91571
677;66259;93623
66254;70175;96616
18384;10793;7278
30925;33892;82064
19873;61871;36451
79960;25978;52879
26389;79828;96404
64282;52087;11010
26711;6295;17968
64529;48781;4374
22247;85439;5028
926;91830;99601
79247;55141;6277
91236;73322;49734
2891;48183;18649
44648;77387;70876
38108;22497;32537
12775;59421;25088
32999;5751;23203
70457;29605;15630
44345;97318;52054
32308;37131;51260
50511;44648;45988
20629;5039;75187
10043;65547;23888
19467;17317;22116
1643;61522;61170
67953;27786;55429
85726;34892;64440
37033;91108;72499
48163;43183;29998
66737;73314;25202
50476;53902;44346
85248;91840;49748
82346;83486;93267
10142;66418;65652
63630;73306;19289
86911;85723;71205
57948;41618;82698
29916;68561;15270
24504;47742;55406
18891;2188;51897
584;80241;10738
29045;97376;80863
29103;81074;6090
27180;10298;24399
29447;94223;21947
53746;2601;39585
74194;85844;82346
43083;44110;34340
12881;60831;79168
24414;29627;96067
51451;42846;83531
53943;49475;20424
45088;1739;40556
89240;37427;9116
57829;29664;31230
82490;48442;38285
25628;48710;31373
10389;89081;40874
370;84483;41390
49985;45875;31450
42623;69286;32560
64338;56194;90373
88288;575;88691
98238;17835;62998
43546;41538;99894
44618;42925;16001
34341;5709;25335
49528;15008;93261
80013;37655;45061
70642;23997;4062
81786;42929;35147
93799;79955;83206
74363;7950;28717
8468;87933;37234
41055;23596;6285
2462;46522;45346
32045;93825;68397
49447;56863;52622
70859;239;14864
8061;40228;12808
86761;61301;6140
16030;98990;42922
89607;68293;17527
681;52412;64974
48651;19041;20443
29288;84109;31903
78180;30224;75413
83525;10094;48941
33135;68579;9626
44451;8545;60342
60124;82667;38841
54501;99152;8298
26699;95289;58481
92788;30605;1879
73311;54484;98216
93772;88985;17040
30464;52964;86515
30898;50151;80106
56186;86335;15494
49472;197;24388
93379;44864;65280
35638;90137;24696
27602;47993;6515
81912;51084;38660
55302;30460;3779
9395;29967;96814
9400;18689;9001
66561;61305;60267
92076;59106;70257
22413;40485;73290
65797;4906;44126
19522;44726;36350
5417;8524;7100
45783;80099;60504
17102;44742;46558
78860;55670;88939
76962;98985;26746
90815;7389;44522
9241;70247;64547
48126;38590;98690
76510;13012;68241
15590;79820;86802
18547;81549;26015
91329;30792;27790
69967;13855;30987
99308;47348;17960
28420;40423;99855
65219;96013;74852
4859;29743;8829
13745;95664;62124
68538;25555;35295
55764;71315;58072
59482;90204;60570
92621;88299;85991
33697;37606;9526
31989;40619;66008
87573;666;38436
55099;78636;53478
81415;16200;60818
32069;61882;76012
62964;88519;42300
41017;36015;6413
34147;13671;21757
55975;5667;57149
93156;88146;8893
79136;30424;64103
57790;21299;36876
11623;40637;73763
41918;88688;80722
61112;62428;83207
90313;23968;29435
78053;35423;62946
31785;44641;79775
24587;68564;72509
36021;13400;30241
22700;72157;90122
20232;4046;6187
39332;9584;98399
93595;14655;1390
65544;76448;1773
31763;51999;72976
26435;8467;20917
12217;63944;1736
53137;10040;17784
82997;41701;24154
70472;31549;72396
84800;14944;68815
78614;15012;42178
13050;90727;80347
6215;71203;26979
39307;31940;73568
31509;2622;16724
74691;1384;13154
83040;13651;41664
91046;25546;62869
88301;22715;16481
50391;55794;72268
46301;83947;97024
65019;69072;14409
86370;25667;34957
4641;70813;81250
25863;61898;91477
63585;20312;79633
95414;19371;91208
96847;7769;66817
5536;20353;51056
16536;27006;76177
37561;63997;85238
62159;44619;9831
83535;94541;90293
74172;27152;86688
43003;88907;66681
87307;92288;7952
63277;12883;62342
7047;93323;46375
93838;31374;91041
50651;83050;24971
69507;35823;97176
87404;77318;37556
12745;27920;22253
8715;2059;53213
77049;60762;47935
64880;6373;14693
79735;11009;91930
87229;61912;20804
40411;58739;33006
69095;36592;30355
84440;98368;87322
99662;26161;6016
77723;59506;30284
90469;9960;7243
64156;69873;82970
30532;54997;74243
28216;41166;12713
77171;25035;32395
6057;43234;29522
42673;170;46476
21249;98376;15992
29326;34027;35165
40160;60024;33421
41521;92807;68637
28651;16518;21528
88134;96347;527
59437;5230;71862
97585;27553;13716
38888;40200;95623
69042;30219;20178
8980;1701;17388
20360;45218;58481
4505;49499;44658
72819;19153;34867
52124;33360;29643
75561;46892;94
66192;18230;35321
17814;67438;45341
29068;3500;97409
9568;50736;96106
62419;20431;27719
52879;55098;52761
10069;30336;71191
68146;50031;32557
16280;60040;47538
33390;30227;38729
94998;70299;29909
88454;83575;9840
63227;71387;86907
82554;92825;9859
42190;74118;99998
79853;24000;34954
53685;97990;99998
4491;22372;71305
49488;38905;99325
61557;67314;69110
78161;97493;27015
56898;14091;58497
5082;33266;83329
7994;51248;11418
49196;66512;18687
32080;50528;48002
9269;18934;23144
79260;8192;12232
97285;71170;9901
61;53029;39661
37657;33144;97163
41770;12873;85381
99983;44924;4383
9714;83918;62434
56734;49750;97318
25290;57955;51858
89711;65836;66656
38536;86612;16502
80112;24673;97089
51550;83171;35387
31934;99346;33033
10932;97771;25710
34541;22466;75401
16420;91149;22729
45741;21560;81250
18318;73945;28431
78611;45622;32207
22359;45117;53170
61787;20971;7194
92906;78918;10348
59703;17228;54936
57362;92149;42248
55851;15321;99675
3821;86505;1953
4896;42030;28622
16130;45318;27652
1016;2676;55540
62621;26162;32720
9364;10946;12711
74648;12207;60952
48286;77387;18730
47593;80174;1570
19599;84053;26426
42137;78485;36437
48058;54043;29761
59608;25437;67670
77357;22291;45084
40167;81280;81546
41978;80399;73867
11290;15279;71681
8812;86031;28622
18812;45503;86458
69819;70619;8753
43789;16801;46730
24899;87169;1863
23089;98062;75301
36674;98494;45211
9328;14332;22510
25140;80526;20704
8398;38518;9440
88658;82153;87890
80021;18035;38397
75814;62199;68495
68714;95397;81252
26402;58267;32316
79471;98881;51216
69178;883;32310
13185;7147;9848
53757;24797;88072
37008;96603;40402
85955;6283;20438
13609;84849;53929
98614;70107;72153
8766;55086;37517
61070;59692;63069
55268;42920;37172
43404;89532;36895
24136;13691;62612
72470;9477;24392
78075;19673;86799
64155;94247;20252
21003;70210;69512
12852;2530;60942
96933;56035;36274
16823;82670;41341
85480;33730;82835
751;79614;72636
92909;24774;82547
64267;41705;57163
87602;55938;77167
30477;58070;19981
82266;90620;53621
78835;46263;46817
32013;86666;51099
6847;4081;63426
75696;19856;98835
75900;48876;71441
30083;62589;81620
88976;79948;81366
5163;88768;16245
10085;26736;18848
16728;88240;3507
31166;95156;90961
88829;59658;18336
56056;652;63620
5598;5179;28091
38285;67147;5115
6740;34066;88106
54588;87643;13492
39368;74383;9235
80810;84124;94286
94758;47802;47736
87910;83341;72725
2176;3424;35013
60418;10394;99187
47477;15145;84061
79829;26665;70178
90989;93058;47360
30794;52604;78151
86815;2170;18651
94100;50845;54417
48694;41939;51532
44088;25530;93396
49871;58336;89272
43108;62062;14146
94859;48156;74698
91067;38854;35235
53180;37808;87160
10206;40546;97281
20354;23537;48443
37392;89161;41089
68998;62028;32148
28459;78335;75531
14424;80302;87057
99476;99899;75339
8415;81695;88716
48382;80705;92957
46977;17056;89957
66744;43722;1022
19251;81440;94728
99645;65611;44641
23791;17017;45090
35903;15906;28342
26224;44927;56645
94779;47140;20530
86955;23947;48989
93535;96404;45520
